row_type,subject,subject_kind,triple_count,rdf_types,labels,subject_iri,subject_curie,ont:fullName,rdf:type,rdfs:label,label,ont:issuanceSignerRole,ont:issuanceSignerCpf,ont:registrationSignerRole,ont:registrationSignerCpf,ont:hasSignatureRole,ont:signatureDateTime,ont:institutionallySignedBy,ont:certifiedBy,ont:hasSignatureFormat,ont:hasTimestamp,ont:timestampDateTime,ont:validationCodeValue,ont:awardsTitle,ont:hasAddress,ont:conclusionDate,ont:identifier,ont:courseName,ont:awardsDegree,ont:hasQualification,ont:codeEmec,ont:workloadHours,ont:emphasis,ont:hasModeOfDelivery,ont:hasEmecProcessingInfo,ont:otherAwardedTitle,ont:hasRegistration,ont:environment,ont:issuedBy,ont:version,ont:issueDate,ont:isAccessibleVia,ont:hasSignature,ont:hasStatus,ont:hasValidationCode,ont:hasIssuanceSigner,ont:hasAcademicDocumentation,ont:hasTranscript,ont:registeredBy,ont:hasHolder,ont:hasProgram,ont:nationality,ont:hasBirthPlace,ont:cpf,ont:hasIssuanceResponsibilitySigner,ont:federativeUnit,ont:countryName,ont:streetAddress,ont:postalCode,ont:municipality,ont:qualificationName,ont:qualificationDate,ont:cnpj,ont:institutionMecCode,ont:birthFederativeUnitCode,ont:birthMunicipalityName,ont:ibgeMunicipalityCode,ont:foreignBirthMunicipalityName,ont:registrySequence,ont:registrationDate,ont:hasRegistrationResponsible,ont:registrationNumber,ont:registrationAdditionalInformation,ont:academicDocumentationRequestId,ont:registryPage,ont:registryBook,ont:diplomaExpeditionDate,ont:degreeConferralDate,ont:diplomaProcessNumber,ont:hasRegistrationSigner,ont:responsibleName,ont:responsibleCpf,ont:responsibleInternalId,ont:issuanceResponsibilitySignerCpf,ont:issuanceResponsibilitySignerDesignationAct,ont:issuanceResponsibilitySignerName,ont:issuanceResponsibilitySignerRole,ont:emecRegistrationDate,ont:emecProcessType,ont:emecProcessNumber,ont:emecProtocolDate,dcterms:description,dcterms:created,dcterms:title,owl:imports,rdfs:comment,dcterms:source
entity,rec:agenteCertificadorFicticio,iri,3,ont:AgenteCertificador,Agente certificador ficticio,https://w3id.org/ufes/ontodiplomadigital/instancias-ficticias#agenteCertificadorFicticio,rec:agenteCertificadorFicticio,Autoridade Certificadora Ficticia Raiz do Conhecimento,ont:AgenteCertificador,Agente certificador ficticio,Agente certificador ficticio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entity,rec:agenteCertificadorFicticio02,iri,3,ont:AgenteCertificador,Agente certificador ficticio 2,https://w3id.org/ufes/ontodiplomadigital/instancias-ficticias#agenteCertificadorFicticio02,rec:agenteCertificadorFicticio02,Autoridade Certificadora Ficticia Rede Federal,ont:AgenteCertificador,Agente certificador ficticio 2,Agente certificador ficticio 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entity,rec:agenteCertificadorFicticio03,iri,3,ont:AgenteCertificador,Agente certificador ficticio 3,https://w3id.org/ufes/ontodiplomadigital/instancias-ficticias#agenteCertificadorFicticio03,rec:agenteCertificadorFicticio03,Autoridade Certificadora Ficticia Registro Seguro,ont:AgenteCertificador,Agente certificador ficticio 3,Agente certificador ficticio 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entity,rec:agenteCertificadorFicticio04,iri,3,ont:AgenteCertificador,Agente certificador ficticio 4,https://w3id.org/ufes/ontodiplomadigital/instancias-ficticias#agenteCertificadorFicticio04,rec:agenteCertificadorFicticio04,Autoridade Certificadora Ficticia Integridade Digital,ont:AgenteCertificador,Agente certificador ficticio 4,Agente certificador ficticio 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entity,rec:assinanteEmissaoCaso1,iri,6,ont:RepresentanteInstitucionalEmissora | ont:AssinanteEmissao,Pessoa Fictícia-0587,https://w3id.org/ufes/ontodiplomadigital/instancias-ficticias#assinanteEmissaoCaso1,rec:assinanteEmissaoCaso1,Assinante Fictício-0005,ont:RepresentanteInstitucionalEmissora | ont:AssinanteEmissao,Assinante da emissao sintetico Caso1,Assinante da emissao sintetico Caso1,Reitor,CPF-FICTICIO-0005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entity,rec:assinanteEmissaoCaso2,iri,6,ont:RepresentanteInstitucionalEmissora | ont:AssinanteEmissao,Pessoa Fictícia-0588,https://w3id.org/ufes/ontodiplomadigital/instancias-ficticias#assinanteEmissaoCaso2,rec:assinanteEmissaoCaso2,Assinante Fictício-0010,ont:RepresentanteInstitucionalEmissora | ont:AssinanteEmissao,Assinante da emissao sintetico Caso2,Assinante da emissao sintetico Caso2,Reitora,CPF-FICTICIO-0010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entity,rec:assinanteEmissaoLote001,iri,6,ont:AssinanteEmissao | ont:RepresentanteInstitucionalEmissora,Pessoa Fictícia-0589,https://w3id.org/ufes/ontodiplomadigital/instancias-ficticias#assinanteEmissaoLote001,rec:assinanteEmissaoLote001,Assinante Fictício-0015,ont:AssinanteEmissao | ont:RepresentanteInstitucionalEmissora,Assinante da emissao sintetico Lote001,Assinante da emissao sintetico Lote001,Diretor Academico,CPF-FICTICIO-0015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entity,rec:assinanteEmissaoLote002,iri,6,ont:AssinanteEmissao | ont:RepresentanteInstitucionalEmissora,Pessoa Fictícia-0590,https://w3id.org/ufes/ontodiplomadigital/instancias-ficticias#assinanteEmissaoLote002,rec:assinanteEmissaoLote002,Assinante Fictício-0020,ont:AssinanteEmissao | ont:RepresentanteInstitucionalEmissora,Assinante da emissao sintetico Lote002,Assinante da emissao sintetico Lote002,Diretora Academica,CPF-FICTICIO-0020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entity,rec:assinanteEmissaoLote003,iri,6,ont:AssinanteEmissao | ont:RepresentanteInstitucionalEmissora,Pessoa Fictícia-0591,https://w3id.org/ufes/ontodiplomadigital/instancias-ficticias#assinanteEmissaoLote003,rec:assinanteEmissaoLote003,Assinante Fictício-0025,ont:AssinanteEmissao | ont:RepresentanteInstitucionalEmissora,Assinante da emissao sintetico Lote003,Assinante da emissao sintetico Lote003,Secretario Geral Academico,CPF-FICTICIO-0025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entity,rec:assinanteEmissaoLote004,iri,6,ont:AssinanteEmissao | ont:RepresentanteInstitucionalEmissora,Pessoa Fictícia-0592,https://w3id.org/ufes/ontodiplomadigital/instancias-ficticias#assinanteEmissaoLote004,rec:assinanteEmissaoLote004,Assinante Fictício-0030,ont:AssinanteEmissao | ont:RepresentanteInstitucionalEmissora,Assinante da emissao sintetico Lote004,Assinante da emissao sintetico Lote004,Secretaria Geral Academica,CPF-FICTICIO-0030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
