id_estavel;iri_slug;iri_individuo;classe_principal;rotulo_pt;issued_by;registered_by;holder;nationality;birth_place;birth_municipality_name;birth_ibge_code;birth_uf;foreign_birth_municipality_name;program;registration;signature;validation_code;transcript;academic_documentation;issue_date;status;version;identifier
diplomaCaso1;diplomaCaso1;rec:diplomaCaso1;DiplomaDigital;Diploma 001;rec:iesEmissoraCaso1;rec:iesRegistradoraCaso1;rec:diplomadoCaso1;Brasileira;rec:localNaturalidadeBr3106200;Belo Horizonte;3106200;MG;;rec:cursoCaso1;rec:registroCaso1;rec:assinaturaCaso1;rec:codigoValidacaoCaso1;rec:historicoCaso1;rec:documentacaoAcademicaCaso1;2027-01-10;vocab:Ativo;1.05;urn:fake:diploma:001
diplomaCaso2;diplomaCaso2;rec:diplomaCaso2;DiplomaDigital;Diploma 002;rec:iesEmissoraCaso2;rec:iesRegistradoraCaso2;rec:diplomadoCaso2;Brasileira;rec:localNaturalidadeBr2611606;Recife;2611606;PE;;rec:cursoCaso2;rec:registroCaso2;rec:assinaturaCaso2;rec:codigoValidacaoCaso2;rec:historicoCaso2;rec:documentacaoAcademicaCaso2;2026-12-22;vocab:Revogado;1.05;urn:fake:diploma:002
diplomaLote001;diplomaLote001;rec:diplomaLote001;DiplomaDigital;Diploma 003;rec:iesEmissoraLote01;rec:iesRegistradoraLote01;rec:diplomadoLote001;Brasileira;rec:localNaturalidadeBr4205407;Florianópolis;4205407;SC;;rec:cursoLote001;rec:registroLote001;rec:assinaturaLote001;rec:codigoValidacaoLote001;rec:historicoLote001;rec:documentacaoAcademicaLote001;2026-02-14;vocab:Ativo;1.05;urn:fake:diploma:003
diplomaLote002;diplomaLote002;rec:diplomaLote002;DiplomaDigital;Diploma 004;rec:iesEmissoraLote02;rec:iesRegistradoraLote02;rec:diplomadoLote002;Brasileira;rec:localNaturalidadeBr4106902;Curitiba;4106902;PR;;rec:cursoLote002;rec:registroLote002;rec:assinaturaLote002;rec:codigoValidacaoLote002;rec:historicoLote002;rec:documentacaoAcademicaLote002;2026-02-17;vocab:Ativo;1.05;urn:fake:diploma:004
diplomaLote003;diplomaLote003;rec:diplomaLote003;DiplomaDigital;Diploma 005;rec:iesEmissoraLote03;rec:iesRegistradoraLote03;rec:diplomadoLote003;Brasileira;rec:localNaturalidadeBr2927408;Salvador;2927408;BA;;rec:cursoLote003;rec:registroLote003;rec:assinaturaLote003;rec:codigoValidacaoLote003;rec:historicoLote003;rec:documentacaoAcademicaLote003;2026-02-20;vocab:Ativo;1.05;urn:fake:diploma:005
diplomaLote004;diplomaLote004;rec:diplomaLote004;DiplomaDigital;Diploma 006;rec:iesEmissoraLote04;rec:iesRegistradoraLote04;rec:diplomadoLote004;Brasileira;rec:localNaturalidadeBr3550308;São Paulo;3550308;SP;;rec:cursoLote004;rec:registroLote004;rec:assinaturaLote004;rec:codigoValidacaoLote004;rec:historicoLote004;rec:documentacaoAcademicaLote004;2026-02-23;vocab:Revogado;1.05;urn:fake:diploma:006
diplomaLote005;diplomaLote005;rec:diplomaLote005;DiplomaDigital;Diploma 007;rec:iesEmissoraLote05;rec:iesRegistradoraLote05;rec:diplomadoLote005;Brasileira;rec:localNaturalidadeBr2408102;Natal;2408102;RN;;rec:cursoLote005;rec:registroLote005;rec:assinaturaLote005;rec:codigoValidacaoLote005;rec:historicoLote005;rec:documentacaoAcademicaLote005;2026-02-26;vocab:Anulado;1.05;urn:fake:diploma:007
diplomaLote006;diplomaLote006;rec:diplomaLote006;DiplomaDigital;Diploma 008;rec:iesEmissoraLote06;rec:iesRegistradoraLote06;rec:diplomadoLote006;Brasileira;rec:localNaturalidadeBr3550308;São Paulo;3550308;SP;;rec:cursoLote006;rec:registroLote006;rec:assinaturaLote006;rec:codigoValidacaoLote006;rec:historicoLote006;rec:documentacaoAcademicaLote006;2026-03-01;vocab:Ativo;1.05;urn:fake:diploma:008
diplomaLote007;diplomaLote007;rec:diplomaLote007;DiplomaDigital;Diploma 009;rec:iesEmissoraLote07;rec:iesRegistradoraLote07;rec:diplomadoLote007;Brasileira;rec:localNaturalidadeBr3550308;São Paulo;3550308;SP;;rec:cursoLote007;rec:registroLote007;rec:assinaturaLote007;rec:codigoValidacaoLote007;rec:historicoLote007;rec:documentacaoAcademicaLote007;2026-03-04;vocab:Ativo;1.05;urn:fake:diploma:009
diplomaLote008;diplomaLote008;rec:diplomaLote008;DiplomaDigital;Diploma 010;rec:iesEmissoraLote08;rec:iesRegistradoraLote08;rec:diplomadoLote008;Brasileira;rec:localNaturalidadeBr2611606;Recife;2611606;PE;;rec:cursoLote008;rec:registroLote008;rec:assinaturaLote008;rec:codigoValidacaoLote008;rec:historicoLote008;rec:documentacaoAcademicaLote008;2026-03-07;vocab:Ativo;1.05;urn:fake:diploma:010
diplomaLote009;diplomaLote009;rec:diplomaLote009;DiplomaDigital;Diploma 011;rec:iesEmissoraLote09;rec:iesRegistradoraLote01;rec:diplomadoLote009;Brasileira;rec:localNaturalidadeBr1600303;Macapá;1600303;AP;;rec:cursoLote009;rec:registroLote009;rec:assinaturaLote009;rec:codigoValidacaoLote009;rec:historicoLote009;rec:documentacaoAcademicaLote009;2026-03-10;vocab:Revogado;1.05;urn:fake:diploma:011
diplomaLote010;diplomaLote010;rec:diplomaLote010;DiplomaDigital;Diploma 012;rec:iesEmissoraLote10;rec:iesRegistradoraLote02;rec:diplomadoLote010;Brasileira;rec:localNaturalidadeBr2800308;Aracaju;2800308;SE;;rec:cursoLote010;rec:registroLote010;rec:assinaturaLote010;rec:codigoValidacaoLote010;rec:historicoLote010;rec:documentacaoAcademicaLote010;2026-03-13;vocab:Anulado;1.05;urn:fake:diploma:012
diplomaLote011;diplomaLote011;rec:diplomaLote011;DiplomaDigital;Diploma 013;rec:iesEmissoraLote01;rec:iesRegistradoraLote03;rec:diplomadoLote011;Brasileira;rec:localNaturalidadeBr1302603;Manaus;1302603;AM;;rec:cursoLote011;rec:registroLote011;rec:assinaturaLote011;rec:codigoValidacaoLote011;rec:historicoLote011;rec:documentacaoAcademicaLote011;2026-03-16;vocab:Ativo;1.05;urn:fake:diploma:013
diplomaLote012;diplomaLote012;rec:diplomaLote012;DiplomaDigital;Diploma 014;rec:iesEmissoraLote02;rec:iesRegistradoraLote04;rec:diplomadoLote012;Brasileira;rec:localNaturalidadeBr3304557;Rio de Janeiro;3304557;RJ;;rec:cursoLote012;rec:registroLote012;rec:assinaturaLote012;rec:codigoValidacaoLote012;rec:historicoLote012;rec:documentacaoAcademicaLote012;2026-03-19;vocab:Ativo;1.05;urn:fake:diploma:014
diplomaLote013;diplomaLote013;rec:diplomaLote013;DiplomaDigital;Diploma 015;rec:iesEmissoraLote03;rec:iesRegistradoraLote05;rec:diplomadoLote013;Brasileira;rec:localNaturalidadeBr3304557;Rio de Janeiro;3304557;RJ;;rec:cursoLote013;rec:registroLote013;rec:assinaturaLote013;rec:codigoValidacaoLote013;rec:historicoLote013;rec:documentacaoAcademicaLote013;2026-03-22;vocab:Ativo;1.05;urn:fake:diploma:015
diplomaLote014;diplomaLote014;rec:diplomaLote014;DiplomaDigital;Diploma 016;rec:iesEmissoraLote04;rec:iesRegistradoraLote06;rec:diplomadoLote014;Brasileira;rec:localNaturalidadeBr3304557;Rio de Janeiro;3304557;RJ;;rec:cursoLote014;rec:registroLote014;rec:assinaturaLote014;rec:codigoValidacaoLote014;rec:historicoLote014;rec:documentacaoAcademicaLote014;2026-03-25;vocab:Revogado;1.05;urn:fake:diploma:016
diplomaLote015;diplomaLote015;rec:diplomaLote015;DiplomaDigital;Diploma 017;rec:iesEmissoraLote05;rec:iesRegistradoraLote07;rec:diplomadoLote015;Angolana;rec:localNaturalidadeEstrangeiraLuanda;;;;Luanda;rec:cursoLote015;rec:registroLote015;rec:assinaturaLote015;rec:codigoValidacaoLote015;rec:historicoLote015;rec:documentacaoAcademicaLote015;2026-03-28;vocab:Anulado;1.05;urn:fake:diploma:017
diplomaLote016;diplomaLote016;rec:diplomaLote016;DiplomaDigital;Diploma 018;rec:iesEmissoraLote06;rec:iesRegistradoraLote08;rec:diplomadoLote016;Brasileira;rec:localNaturalidadeBr3304557;Rio de Janeiro;3304557;RJ;;rec:cursoLote016;rec:registroLote016;rec:assinaturaLote016;rec:codigoValidacaoLote016;rec:historicoLote016;rec:documentacaoAcademicaLote016;2026-03-31;vocab:Ativo;1.05;urn:fake:diploma:018
diplomaLote017;diplomaLote017;rec:diplomaLote017;DiplomaDigital;Diploma 019;rec:iesEmissoraLote07;rec:iesRegistradoraLote01;rec:diplomadoLote017;Brasileira;rec:localNaturalidadeBr3304557;Rio de Janeiro;3304557;RJ;;rec:cursoLote017;rec:registroLote017;rec:assinaturaLote017;rec:codigoValidacaoLote017;rec:historicoLote017;rec:documentacaoAcademicaLote017;2026-04-03;vocab:Ativo;1.05;urn:fake:diploma:019
diplomaLote018;diplomaLote018;rec:diplomaLote018;DiplomaDigital;Diploma 020;rec:iesEmissoraLote08;rec:iesRegistradoraLote02;rec:diplomadoLote018;Brasileira;rec:localNaturalidadeBr3304557;Rio de Janeiro;3304557;RJ;;rec:cursoLote018;rec:registroLote018;rec:assinaturaLote018;rec:codigoValidacaoLote018;rec:historicoLote018;rec:documentacaoAcademicaLote018;2026-04-06;vocab:Ativo;1.05;urn:fake:diploma:020
diplomaLote019;diplomaLote019;rec:diplomaLote019;DiplomaDigital;Diploma 021;rec:iesEmissoraLote09;rec:iesRegistradoraLote03;rec:diplomadoLote019;Brasileira;rec:localNaturalidadeBr5300108;Brasília;5300108;DF;;rec:cursoLote019;rec:registroLote019;rec:assinaturaLote019;rec:codigoValidacaoLote019;rec:historicoLote019;rec:documentacaoAcademicaLote019;2026-04-09;vocab:Revogado;1.05;urn:fake:diploma:021
diplomaLote020;diplomaLote020;rec:diplomaLote020;DiplomaDigital;Diploma 022;rec:iesEmissoraLote10;rec:iesRegistradoraLote04;rec:diplomadoLote020;Brasileira;rec:localNaturalidadeBr2111300;São Luís;2111300;MA;;rec:cursoLote020;rec:registroLote020;rec:assinaturaLote020;rec:codigoValidacaoLote020;rec:historicoLote020;rec:documentacaoAcademicaLote020;2026-04-12;vocab:Anulado;1.05;urn:fake:diploma:022
diplomaLote021;diplomaLote021;rec:diplomaLote021;DiplomaDigital;Diploma 023;rec:iesEmissoraLote01;rec:iesRegistradoraLote05;rec:diplomadoLote021;Brasileira;rec:localNaturalidadeBr3106200;Belo Horizonte;3106200;MG;;rec:cursoLote021;rec:registroLote021;rec:assinaturaLote021;rec:codigoValidacaoLote021;rec:historicoLote021;rec:documentacaoAcademicaLote021;2026-04-15;vocab:Ativo;1.05;urn:fake:diploma:023
diplomaLote022;diplomaLote022;rec:diplomaLote022;DiplomaDigital;Diploma 024;rec:iesEmissoraLote02;rec:iesRegistradoraLote06;rec:diplomadoLote022;Brasileira;rec:localNaturalidadeBr2927408;Salvador;2927408;BA;;rec:cursoLote022;rec:registroLote022;rec:assinaturaLote022;rec:codigoValidacaoLote022;rec:historicoLote022;rec:documentacaoAcademicaLote022;2026-04-18;vocab:Ativo;1.05;urn:fake:diploma:024
diplomaLote023;diplomaLote023;rec:diplomaLote023;DiplomaDigital;Diploma 025;rec:iesEmissoraLote03;rec:iesRegistradoraLote07;rec:diplomadoLote023;Brasileira;rec:localNaturalidadeBr4314902;Porto Alegre;4314902;RS;;rec:cursoLote023;rec:registroLote023;rec:assinaturaLote023;rec:codigoValidacaoLote023;rec:historicoLote023;rec:documentacaoAcademicaLote023;2026-04-21;vocab:Ativo;1.05;urn:fake:diploma:025
diplomaLote024;diplomaLote024;rec:diplomaLote024;DiplomaDigital;Diploma 026;rec:iesEmissoraLote04;rec:iesRegistradoraLote08;rec:diplomadoLote024;Moçambicana;rec:localNaturalidadeEstrangeiraMaputo;;;;Maputo;rec:cursoLote024;rec:registroLote024;rec:assinaturaLote024;rec:codigoValidacaoLote024;rec:historicoLote024;rec:documentacaoAcademicaLote024;2026-04-24;vocab:Revogado;1.05;urn:fake:diploma:026
diplomaLote025;diplomaLote025;rec:diplomaLote025;DiplomaDigital;Diploma 027;rec:iesEmissoraLote05;rec:iesRegistradoraLote01;rec:diplomadoLote025;Brasileira;rec:localNaturalidadeBr3106200;Belo Horizonte;3106200;MG;;rec:cursoLote025;rec:registroLote025;rec:assinaturaLote025;rec:codigoValidacaoLote025;rec:historicoLote025;rec:documentacaoAcademicaLote025;2026-04-27;vocab:Anulado;1.05;urn:fake:diploma:027
diplomaLote026;diplomaLote026;rec:diplomaLote026;DiplomaDigital;Diploma 028;rec:iesEmissoraLote06;rec:iesRegistradoraLote02;rec:diplomadoLote026;Brasileira;rec:localNaturalidadeBr5208707;Goiânia;5208707;GO;;rec:cursoLote026;rec:registroLote026;rec:assinaturaLote026;rec:codigoValidacaoLote026;rec:historicoLote026;rec:documentacaoAcademicaLote026;2026-04-30;vocab:Ativo;1.05;urn:fake:diploma:028
diplomaLote027;diplomaLote027;rec:diplomaLote027;DiplomaDigital;Diploma 029;rec:iesEmissoraLote07;rec:iesRegistradoraLote03;rec:diplomadoLote027;Brasileira;rec:localNaturalidadeBr4205407;Florianópolis;4205407;SC;;rec:cursoLote027;rec:registroLote027;rec:assinaturaLote027;rec:codigoValidacaoLote027;rec:historicoLote027;rec:documentacaoAcademicaLote027;2026-05-03;vocab:Ativo;1.05;urn:fake:diploma:029
diplomaLote028;diplomaLote028;rec:diplomaLote028;DiplomaDigital;Diploma 030;rec:iesEmissoraLote08;rec:iesRegistradoraLote04;rec:diplomadoLote028;Argentina;rec:localNaturalidadeEstrangeiraBuenosAires;;;;Buenos Aires;rec:cursoLote028;rec:registroLote028;rec:assinaturaLote028;rec:codigoValidacaoLote028;rec:historicoLote028;rec:documentacaoAcademicaLote028;2026-05-06;vocab:Ativo;1.05;urn:fake:diploma:030
diplomaLote029;diplomaLote029;rec:diplomaLote029;DiplomaDigital;Diploma 031;rec:iesEmissoraLote09;rec:iesRegistradoraLote05;rec:diplomadoLote029;Brasileira;rec:localNaturalidadeBr3550308;São Paulo;3550308;SP;;rec:cursoLote029;rec:registroLote029;rec:assinaturaLote029;rec:codigoValidacaoLote029;rec:historicoLote029;rec:documentacaoAcademicaLote029;2026-05-09;vocab:Revogado;1.05;urn:fake:diploma:031
diplomaLote030;diplomaLote030;rec:diplomaLote030;DiplomaDigital;Diploma 032;rec:iesEmissoraLote10;rec:iesRegistradoraLote06;rec:diplomadoLote030;Brasileira;rec:localNaturalidadeBr3550308;São Paulo;3550308;SP;;rec:cursoLote030;rec:registroLote030;rec:assinaturaLote030;rec:codigoValidacaoLote030;rec:historicoLote030;rec:documentacaoAcademicaLote030;2026-05-12;vocab:Anulado;1.05;urn:fake:diploma:032
